pnode_id,pnode_name,pnode_subtype,pnode_zone,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
34509215,SOUTH CANTON,EHV,AEP,152306,SOUTH CANTON 138KV,CANTON,OH,138,40.72133910900004,-81.41651355499994,100
34509215,SOUTH CANTON,EHV,AEP,152307,SOUTH CANTON 765KV,EAST SPARTA,OH,765,40.71566634700008,-81.41615562199996,100
34509215,SOUTH CANTON,EHV,AEP,152324,SOUTH CANTON 345KV,CANTON,OH,345,40.71991056300004,-81.41633793299997,100
34509219,WYOMING,EHV,AEP,154971,WYOMING,CLEAR FORK,WV,765,37.65794086900007,-81.67759428699998,100
34509219,WYOMING,EHV,AEP,147519,LYCOMING,SOUTH WILLIAMSPORT,PA,230,41.22164385100007,-77.01743345999995,80.0
35084667,NAGELAEP,EHV,AEP,154285,NAGEL,CHURCH HILL,TN,500,36.59059019100005,-82.69600229799994,76.92307692307692
35084669,FLATLICK,EHV,AEP,152730,FLATLICK,WILKESVILLE,OH,765,39.08514424100008,-82.33129100999997,100
40243253,DUBLIN  138 KV  T1 LOAD,LOAD,AEP,152368,DUBLIN,MASSILLON,OH,-999999,40.81589832100008,-81.58212852199995,100
40243425,BOTKINS 69 KV   BK-1,LOAD,DAY,148195,BOYKINS,BOYKINS,VA,230,36.60044680300007,-77.19368155599994,85.71428571428571
40243445,CELINA  69 KV   CEL 1,LOAD,DAY,173455,"CELINA SOLAR PROJECT #1, LLC",CELINA,OH,-999999,40.54336114700004,-84.59089592299995,100
40243517,HARRISON69 KV   HARRISON,LOAD,DAY,116775,HARRISON,CENTREVILLE,VA,115,38.81146882500008,-77.45130041899995,100
40243517,HARRISON69 KV   HARRISON,LOAD,DAY,150582,HARRISON,SHINNSTON,WV,500,39.38029667400008,-80.33181759599995,100
40243517,HARRISON69 KV   HARRISON,LOAD,DAY,113805,HARRISON,LOCKBOURNE,OH,138,39.80020155100004,-82.98943246799996,100
40243581,LIBERTY 69 KV   BK-1,LOAD,DAY,125184,LIBERTY ELECTRIC POWER PLANT,CRUM LYNNE,PA,230,39.86138523500006,-75.33440736499995,100
40243581,LIBERTY 69 KV   BK-1,LOAD,DAY,144122,PANDA LIBERTY GENERATION PLANT,ASYLUM TWP,PA,230,41.765700464000076,-76.38831959099997,100
40243581,LIBERTY 69 KV   BK-1,LOAD,DAY,160641,LIBERTY CENTER,LIBERTY CENTER,IN,-999999,40.69755974100008,-85.28471294699995,100
40243587,MACEDON 69 KV   MARATHON,LOAD,DAY,152373,MACEDONIA,NORTHFIELD,OH,-999999,41.314567098000055,-81.52401347799997,87.5
2156112898,WAGENHAL69 KV   MAHONING,LOAD,AEP,150355,MAHONING,NEW SPRINGFIELD,OH,-999999,40.91697578900005,-80.57682622599998,100
40243615,MINSTER 69 KV   LOAD,LOAD,DAY,156346,HMV MINSTER ENERGY STORAGE SYSTEM,MINSTER,OH,-999999,40.39862984900003,-84.38651052099993,100
40243615,MINSTER 69 KV   LOAD,LOAD,DAY,143945,WARMINSTER,WARMINSTER,PA,230,40.19376102000007,-75.09216646399994,82.35294117647058
40243615,MINSTER 69 KV   LOAD,LOAD,DAY,144031,MASTER,PHILADELPHIA,PA,230,39.979437078000046,-75.18816451599997,76.92307692307692
